Lake,Core,Time_median,Period,Metabarcoding_Sample_ID,Species,Method,relative_abundance,Meta_presence_absence
Pounui,Depocenter,1348,Prehuman,CAW-22-07-P2-56,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Depocenter,1323,Prehuman,CAW-22-07-P2-57,Echyridella menziesii,Metabarcoding,,Present
Pounui,Depocenter,1306,Prehuman,CAW-22-07-P2-58,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Depocenter,1282,Prehuman,CAW-22-07-P2-59,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Depocenter,1248,Prehuman,CAW-22-07-P2-60,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Depocenter,2021,European,CAW-22-07-P2-31,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,2018,European,CAW-22-07-P2-32,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,2012,European,CAW-22-07-P2-33,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,2007,European,CAW-22-07-P2-34,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,2000,European,CAW-22-07-P2-35,Echyridella menziesii,ddPCR,,Absent
Pounui,Depocenter,1994,European,CAW-22-07-P2-36,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,1987,European,CAW-22-07-P2-37,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,1980,European,CAW-22-07-P2-38,Echyridella menziesii,ddPCR,,Absent
Pounui,Depocenter,1973,European,CAW-22-07-P2-39,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,1958,European,CAW-22-07-P2-40,Echyridella menziesii,ddPCR,,Absent
Pounui,Depocenter,1944,European,CAW-22-07-P2-41,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,1930,European,CAW-22-07-P2-42,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,1917,European,CAW-22-07-P2-43,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,1907,European,CAW-22-07-P2-44,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,1897,European,CAW-22-07-P2-45,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,1889,European,CAW-22-07-P2-46,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,1870,European,CAW-22-07-P2-47,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,1857,European,CAW-22-07-P2-48,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,1848,European,CAW-22-07-P2-49,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,1795,Maori,CAW-22-07-P2-50,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,1719,Maori,CAW-22-07-P2-51,Echyridella menziesii,ddPCR,,Present
Pounui,Depocenter,1653,Maori,CAW-22-07-P2-52,Echyridella menziesii,ddPCR,,Absent
Pounui,Depocenter,1572,Maori,CAW-22-07-P2-53,Echyridella menziesii,ddPCR,,Absent
Pounui,Depocenter,1476,Maori,CAW-22-07-P2-54,Echyridella menziesii,ddPCR,,Absent
Pounui,Depocenter,1392,Maori,CAW-22-07-P2-55,Echyridella menziesii,ddPCR,,Absent
Pounui,Depocenter,1348,Prehuman,CAW-22-07-P2-56,Echyridella menziesii,ddPCR,,Absent
Pounui,Depocenter,1323,Prehuman,CAW-22-07-P2-57,Echyridella menziesii,ddPCR,,Absent
Pounui,Depocenter,1306,Prehuman,CAW-22-07-P2-58,Echyridella menziesii,ddPCR,,Absent
Pounui,Depocenter,1282,Prehuman,CAW-22-07-P2-59,Echyridella menziesii,ddPCR,,Absent
Pounui,Depocenter,1248,Prehuman,CAW-22-07-P2-60,Echyridella menziesii,ddPCR,,Absent
Pounui,Nearshore,2021,European,CAW-22-07-P2-1,Echyridella menziesii,Metabarcoding,,Present
Pounui,Nearshore,2019,European,CAW-22-07-P2-2,Echyridella menziesii,Metabarcoding,,Present
Pounui,Nearshore,2018,European,CAW-22-07-P2-3,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Nearshore,2016,European,CAW-22-07-P2-4,Echyridella menziesii,Metabarcoding,,Present
Pounui,Nearshore,2014,European,CAW-22-07-P2-5,Echyridella menziesii,Metabarcoding,,Present
Pounui,Nearshore,2006,European,CAW-22-07-P2-6,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Nearshore,1999,European,CAW-22-07-P2-7,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Nearshore,1991,European,CAW-22-07-P2-8,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Nearshore,1976,European,CAW-22-07-P2-9,Echyridella menziesii,Metabarcoding,,Present
Pounui,Nearshore,1963,European,CAW-22-07-P2-10,Echyridella menziesii,Metabarcoding,,Present
Pounui,Nearshore,1929,European,CAW-22-07-P2-11,Echyridella menziesii,Metabarcoding,,Present
Pounui,Nearshore,1920,European,CAW-22-07-P2-12,Echyridella menziesii,Metabarcoding,,Present
Pounui,Nearshore,1907,European,CAW-22-07-P2-13,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Nearshore,1894,European,CAW-22-07-P2-14,Echyridella menziesii,Metabarcoding,,Present
Pounui,Nearshore,1886,European,CAW-22-07-P2-15,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Nearshore,1878,European,CAW-22-07-P2-16,Echyridella menziesii,Metabarcoding,,Present
Pounui,Nearshore,1870,European,CAW-22-07-P2-17,Echyridella menziesii,Metabarcoding,,Present
Pounui,Nearshore,1862,European,CAW-22-07-P2-18,Echyridella menziesii,Metabarcoding,,Present
Pounui,Nearshore,1852,European,CAW-22-07-P2-19,Echyridella menziesii,Metabarcoding,,Present
Pounui,Nearshore,1816,Maori,CAW-22-07-P2-20,Echyridella menziesii,Metabarcoding,,Present
Pounui,Nearshore,1734,Maori,CAW-22-07-P2-21,Echyridella menziesii,Metabarcoding,,Present
Pounui,Nearshore,1687,Maori,CAW-22-07-P2-22,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Nearshore,1586,Maori,CAW-22-07-P2-23,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Nearshore,1487,Maori,CAW-22-07-P2-24,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Nearshore,1438,Maori,CAW-22-07-P2-25,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Nearshore,1326,Prehuman,CAW-22-07-P2-26,Echyridella menziesii,Metabarcoding,,Present
Pounui,Nearshore,1251,Prehuman,CAW-22-07-P2-27,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Nearshore,1097,Prehuman,CAW-22-07-P2-28,Echyridella menziesii,Metabarcoding,,Present
Pounui,Nearshore,892,Prehuman,CAW-22-07-P2-29,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Nearshore,759,Prehuman,CAW-22-07-P2-30,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Nearshore,2021,European,CAW-22-07-P2-1,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,2019,European,CAW-22-07-P2-2,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,2018,European,CAW-22-07-P2-3,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,2016,European,CAW-22-07-P2-4,Echyridella menziesii,ddPCR,,Absent
Pounui,Nearshore,2014,European,CAW-22-07-P2-5,Echyridella menziesii,ddPCR,,Absent
Pounui,Nearshore,2006,European,CAW-22-07-P2-6,Echyridella menziesii,ddPCR,,Absent
Pounui,Nearshore,1999,European,CAW-22-07-P2-7,Echyridella menziesii,ddPCR,,Absent
Pounui,Nearshore,1991,European,CAW-22-07-P2-8,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1976,European,CAW-22-07-P2-9,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1963,European,CAW-22-07-P2-10,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1929,European,CAW-22-07-P2-11,Echyridella menziesii,ddPCR,,Absent
Pounui,Nearshore,1920,European,CAW-22-07-P2-12,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1907,European,CAW-22-07-P2-13,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1894,European,CAW-22-07-P2-14,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1886,European,CAW-22-07-P2-15,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1878,European,CAW-22-07-P2-16,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1870,European,CAW-22-07-P2-17,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1862,European,CAW-22-07-P2-18,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1852,European,CAW-22-07-P2-19,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1816,Maori,CAW-22-07-P2-20,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1734,Maori,CAW-22-07-P2-21,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1687,Maori,CAW-22-07-P2-22,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1586,Maori,CAW-22-07-P2-23,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1487,Maori,CAW-22-07-P2-24,Echyridella menziesii,ddPCR,,Absent
Pounui,Nearshore,1438,Maori,CAW-22-07-P2-25,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1326,Prehuman,CAW-22-07-P2-26,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1251,Prehuman,CAW-22-07-P2-27,Echyridella menziesii,ddPCR,,Present
Pounui,Nearshore,1097,Prehuman,CAW-22-07-P2-28,Echyridella menziesii,ddPCR,,Absent
Pounui,Nearshore,892,Prehuman,CAW-22-07-P2-29,Echyridella menziesii,ddPCR,,Absent
Pounui,Nearshore,759,Prehuman,CAW-22-07-P2-30,Echyridella menziesii,ddPCR,,Absent
